,occurrence_id,classification,type of occurrence,localization,fu,country,aerodrome,occurrence_day,time,under_investigation,investigating_command,investigation_status,report_number,published_report,publication_day,recommendation_amount,aircrafts_involved,takeoff,extraction_day
10,44316,ACCIDENT,LOSS OF CONTROL IN THE AIR,ALTO ALEGRE,Roraima,BRAZIL,****,2011-04-06,20:25:00,YES,SERIPA-7,FINISHED,,1.0,2013-07-30,2,1,,2016-07-30
11,46201,ACCIDENT,ABOUT LANDING GEAR,ALTO ALEGRE,Roraima,BRAZIL,****,2012-08-01,16:20:00,YES,SERIPA-7,FINISHED,,1.0,2014-08-15,1,1,,2016-07-30
12,46152,ACCIDENT,TERRAIN COLLISION,ANGRA DOS REIS,RJ,BRAZIL,****,2012-07-12,20:15:00,YES,SERIPA-3,IN PROGRESS,,,,0,1,,2016-07-30
13,37797,ACCIDENT,TRACK INCURSION,ANGRA DOS REIS,RJ,BRAZIL,****,2009-06-12,14:50:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
14,26140,ACCIDENT,LOSS OF CONTROL IN THE AIR,ANGRA DOS REIS,RJ,BRAZIL,****,2006-01-22,20:00:00,YES,SERIPA-3,FINISHED,,1.0,2009-12-30,21,1,,2016-07-30
15,52284,ACCIDENT,METEOROLOGICAL PHENOMENOM IN THE AIR,ANGRA DOS REIS,RJ,BRAZIL,SDAG,2014-08-22,14:30:00,UNKNOWN,SERIPA-3,,,,,0,1,,2016-07-30
16,46841,ACCIDENT,HARD LANDING,ANGRA DOS REIS,RJ,BRAZIL,SDMC,2012-12-27,16:03:00,YES,SERIPA-3,FINISHED,,1.0,2013-10-21,0,1,,2016-07-30
17,53484,ACCIDENT,ENGINE FAILURE DURING THE FLIGHT,ANGRA DOS REIS,RJ,BRAZIL,****,2015-09-18,13:30:00,UNKNOWN,SERIPA-3,,,,,0,1,,2016-07-30
18,46310,ACCIDENT,ANOTHER TYPES,ANGRA DOS REIS,RJ,BRAZIL,****,2012-08-31,18:40:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
19,43986,SERIOUS INCIDENT,ABOUT ROTOR,ANGRA DOS REIS,RJ,BRAZIL,****,2011-02-20,21:20:00,YES,SERIPA-3,IN PROGRESS,UNDEFINED,,,0,1,,2016-07-30
